2023-06-17 06:05:51 trigproc man-db:amd64 2.9.4-2 <none>
2023-06-17 06:05:51 status half-configured man-db:amd64 2.9.4-2
2023-06-17 06:05:51 status installed man-db:amd64 2.9.4-2
2023-06-17 06:05:51 trigproc libc-bin:amd64 2.31-13+deb11u6 <none>
2023-06-17 06:05:51 status half-configured libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:05:51 status installed libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:13:34 startup archives unpack
2023-06-17 06:13:34 install libassuan0:amd64 <none> 2.5.3-7.1
2023-06-17 06:13:34 status triggers-pending libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:13:34 status half-installed libassuan0:amd64 2.5.3-7.1
2023-06-17 06:13:34 status unpacked libassuan0:amd64 2.5.3-7.1
2023-06-17 06:13:34 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status triggers-pending man-db:amd64 2.9.4-2
2023-06-17 06:13:34 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install libksba8:amd64 <none> 1.5.0-3+deb11u2
2023-06-17 06:13:34 status half-installed libksba8:amd64 1.5.0-3+deb11u2
2023-06-17 06:13:34 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2023-06-17 06:13:34 install libnpth0:amd64 <none> 1.6-3
2023-06-17 06:13:34 status half-installed libnpth0:amd64 1.6-3
2023-06-17 06:13:34 status unpacked libnpth0:amd64 1.6-3
2023-06-17 06:13:34 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install gpg:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gpg:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gpg:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install pinentry-curses:amd64 <none> 1.1.0-4
2023-06-17 06:13:34 status half-installed pinentry-curses:amd64 1.1.0-4
2023-06-17 06:13:34 status unpacked pinentry-curses:amd64 1.1.0-4
2023-06-17 06:13:34 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
